"","zipcode","zcta","state","totalHH","enrollments","eligible_adj","eligible_adj_perc","HHEoE_adj","total_support"
"294","01522","01522","MA",1159,64,229.829036776307,19.8299427762128,27.8467859839188,19693.51
"295","01523","01523","MA",2801,107,583.991814759467,20.8494043112984,18.3221746085723,34286.74
"296","01524","01524","MA",2180,316,661.229441872816,30.3316257739824,47.7897655471882,106381.92
"297","01525","01525","MA",31,4,0,0,101,1300
"298","01527","01527","MA",5165,572,2064.69364185928,39.9747074900151,27.7038679445396,181433.34
"299","01529","01529","MA",1275,105,463.425762680093,36.347118641576,22.6573506385924,33390.3
"300","01531","01531","MA",430,18,143.172186844257,33.2958574056411,12.5722742641212,4219.97
"301","01532","01532","MA",5662,210,1326.22657287311,23.4232881114997,15.8343984576527,62175.62
"302","01534","01534","MA",2367,246,369.233534493083,15.5992198771898,66.6245010323158,91242.12
"303","01535","01535","MA",1883,309,702.674022275101,37.3167298074934,43.9748717334856,105655.06
"304","01536","01536","MA",2914,155,1203.77667623,41.3101124306794,12.8761424822942,44661
"305","01537","01537","MA",781,125,226.061347648826,28.9451149358292,55.2947247727553,40656.27
"306","01540","01540","MA",3988,619,1524.03025206584,38.2154025091734,40.615991655083,222059.16
"307","01541","01541","MA",1298,44,209.106746575164,16.1099188424626,21.0418844540647,14219.85
"308","01542","01542","MA",992,103,297.647441070954,30.0047823660236,34.6046986425952,34841.31
"309","01543","01543","MA",3052,243,606.59794952435,19.8754242963417,40.0594825931316,77743.04
"310","01545","01545","MA",13808,295,4065.33656855139,29.4418928776897,7.25647175887132,96261.16
"311","01550","01550","MA",7094,2835,5043.05189713256,71.0889751498811,56.215959260938,1056724.9
"312","01560","01560","MA",1902,140,437.05193878773,22.9785456775884,32.0328060752514,43657.76
"313","01561","01561","MA",17,1,0,0,101,240
"314","01562","01562","MA",5186,890,2324.66419165543,44.825765361655,38.2850995509256,309031.81
"315","01564","01564","MA",3248,102,866.5684993205,26.6800646342518,11.7705640211917,29874.06
